"Ar";"Fylke";"Hovednaring";"Naring";"Naringshovedgruppe";"Naringsgruppe";"AntallTilsyn";"AntallMedReaksjon";"AntallReaksjoner"
"2015";"Agder";"A Jordbruk, skogbruk og fiske";"01 Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell";"01.1 Dyrking av ettårige vekster";"01.13 Dyrking av grønnsaker, meloner, rot- og knollvekster";"3";"3";"9"
"2015";"Agder";"A Jordbruk, skogbruk og fiske";"01 Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell";"01.1 Dyrking av ettårige vekster";"01.19 Dyrking av ettårige vekster ellers";"7";"6";"17"
"2015";"Agder";"A Jordbruk, skogbruk og fiske";"01 Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell";"01.4 Husdyrhold";"01.41 Melkeproduksjon på storfe";"13";"6";"19"
"2015";"Agder";"A Jordbruk, skogbruk og fiske";"01 Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell";"01.4 Husdyrhold";"01.45 Saue- og geitehold";"2";"2";"2"
"2015";"Agder";"A Jordbruk, skogbruk og fiske";"01 Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell";"01.5 Kombinert husdyrhold og planteproduksjon";"01.50 Kombinert husdyrhold og planteproduksjon";"3";"1";"4"
"2015";"Agder";"A Jordbruk, skogbruk og fiske";"02 Skogbruk og tjenester tilknyttet skogbruk";"02.1 Skogskjøtsel og andre skogbruksaktiviteter";"02.10 Skogskjøtsel og andre skogbruksaktiviteter";"1";"1";"9"
"2015";"Agder";"A Jordbruk, skogbruk og fiske";"02 Skogbruk og tjenester tilknyttet skogbruk";"02.2 Avvirkning";"02.20 Avvirkning";"9";"4";"9"
"2015";"Agder";"A Jordbruk, skogbruk og fiske";"03 Fiske, fangst og akvakultur";"03.1 Fiske og fangst";"03.11 Hav- og kystfiske og fangst";"1";"1";"3"
"2015";"Agder";"B Bergverksdrift og utvinning";"08 Bryting og bergverksdrift ellers";"08.1 Bryting av stein, utvinning av sand og leire";"08.11 Bryting av stein til bygge- og anleggsvirksomhet, kalkstein, gips, kritt og skifer";"1";"1";"1"
"2015";"Agder";"C Industri";"16 Produksjon av trelast og varer av tre, kork, strå og flettematerialer, unntatt møbler";"16.2 Produksjon av varer av tre, kork, strå og flettematerialer";"16.21 Produksjon av finerplater og andre bygnings- og møbelplater av tre";"4";"0";"0"
